_id,name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
659f34b2c72de7d60a6242ac,Yafa,24351,Valid,H5,5700,Fell,2000,13.71111,45.17,"(13.71111, 45.17)"
659f34b2c72de7d60a6242af,Yanzhuang,30350,Valid,H6,3500,Fell,1990,24.56667,114.16667,"(24.56667, 114.16667)"
659f34b2c72de7d60a6242bd,Zaoyang,30391,Valid,H5,14250,Fell,1984,32.3,112.75,"(32.3, 112.75)"
659f34b2c72de7d60a6242b9,Zag,30384,Valid,H3-6,175000,Fell,1998,27.33333,-9.33333,"(27.33333, -9.33333)"
659f34b2c72de7d60a6242c3,Zhaodong,30404,Valid,L4,42000,Fell,1984,45.81667,125.91667,"(45.81667, 125.91667)"
659f34b2c72de7d60a6242ca,Abar al' Uj 001,51399,Valid,H3.8,194.34,Found,2008,22.72192,48.95937,"(22.72192, 48.95937)"
659f34b2c72de7d60a6242ce,Abu Moharek,9,Valid,H4,4500,Found,1997,27.23944,29.83583,"(27.23944, 29.83583)"
659f34b2c72de7d60a6242cf,Acfer 001,11,Valid,L6,6700,Found,1989,27.5,3.61667,"(27.5, 3.61667)"
659f34b2c72de7d60a6242d0,Acfer 003,13,Valid,H5,145,Found,1989,27.81667,4.03333,"(27.81667, 4.03333)"
659f34b2c72de7d60a6242d1,Acfer 002,12,Valid,H5,228,Found,1989,27.61667,3.85,"(27.61667, 3.85)"
659f34b2c72de7d60a6242d2,Acfer 005,15,Valid,H3.9/4,115,Found,1989,27.6,3.83333,"(27.6, 3.83333)"
659f34b2c72de7d60a6242d3,Acfer 004,14,Valid,L6,1020,Found,1989,27.58333,3.81667,"(27.58333, 3.81667)"
659f34b2c72de7d60a6242d4,Acfer 006,16,Valid,H3.9/4,561,Found,1989,27.63333,3.96667,"(27.63333, 3.96667)"
659f34b2c72de7d60a6242d5,Acfer 007,17,Valid,L5,542,Found,1989,27.51667,3.65,"(27.51667, 3.65)"
659f34b2c72de7d60a6242d6,Acfer 008,18,Valid,H5,205,Found,1989,27.53333,3.7,"(27.53333, 3.7)"
659f34b2c72de7d60a6242d7,Acfer 009,19,Valid,L6,127,Found,1989,27.73333,4.08333,"(27.73333, 4.08333)"
659f34b2c72de7d60a6242d8,Acfer 010,20,Valid,L6,276,Found,1989,27.75,4.1,"(27.75, 4.1)"
659f34b2c72de7d60a6242d9,Acfer 011,21,Valid,H5,3800,Found,1989,27.75,4.16667,"(27.75, 4.16667)"
659f34b2c72de7d60a6242da,Acfer 012,22,Valid,H6,98,Found,1989,27.8,4.16667,"(27.8, 4.16667)"
659f34b2c72de7d60a6242db,Acfer 013,23,Valid,H5,490,Found,1989,27.83333,4.28333,"(27.83333, 4.28333)"
659f34b2c72de7d60a6242dc,Acfer 015,25,Valid,L6,98,Found,1989,27.78333,4.28333,"(27.78333, 4.28333)"
659f34b2c72de7d60a6242dd,Acfer 014,24,Valid,H5,307,Found,1989,27.8,4.46667,"(27.8, 4.46667)"
659f34b2c72de7d60a6242de,Acfer 016,26,Valid,H4-5,111,Found,1989,27.71667,4.48333,"(27.71667, 4.48333)"
659f34b2c72de7d60a6242df,Acfer 017,27,Valid,L5,446,Found,1989,27.73333,4.4,"(27.73333, 4.4)"
659f34b2c72de7d60a6242e0,Acfer 018,28,Valid,H5,207,Found,1989,27.7,4.08333,"(27.7, 4.08333)"
659f34b2c72de7d60a6242e1,Acfer 019,29,Valid,L6,581,Found,1989,27.7,4.06667,"(27.7, 4.06667)"
659f34b2c72de7d60a6242e2,Acfer 020,30,Valid,H5,708,Found,1989,27.7,4.06667,"(27.7, 4.06667)"
659f34b2c72de7d60a6242e3,Acfer 021,31,Valid,H6,2140,Found,1989,27.55,3.61667,"(27.55, 3.61667)"
659f34b2c72de7d60a6242e4,Acfer 022,32,Valid,H3.7,192,Found,1989,27.51667,3.83333,"(27.51667, 3.83333)"
659f34b2c72de7d60a6242e5,Acfer 023,33,Valid,H3.8,118,Found,1989,27.51667,3.91667,"(27.51667, 3.91667)"
659f34b2c72de7d60a6242e6,Acfer 024,34,Valid,H5,1464,Found,1989,27.55,3.93333,"(27.55, 3.93333)"
659f34b2c72de7d60a6242e7,Acfer 025,35,Valid,H5,920,Found,1989,27.58333,3.96667,"(27.58333, 3.96667)"
659f34b2c72de7d60a6242e8,Acfer 026,36,Valid,H5/6,88,Found,1989,27.61667,4.05,"(27.61667, 4.05)"
659f34b2c72de7d60a6242e9,Acfer 027,37,Valid,H5,206,Found,1989,27.66667,4.2,"(27.66667, 4.2)"
659f34b2c72de7d60a6242ea,Acfer 028,38,Valid,H3.8,3130,Found,1989,27.66667,4.25,"(27.66667, 4.25)"
659f34b2c72de7d60a6242eb,Acfer 029,39,Valid,H4,98,Found,1989,27.68333,4.33333,"(27.68333, 4.33333)"
659f34b2c72de7d60a6242ec,Acfer 030,40,Valid,LL6,123,Found,1989,27.68333,4.41667,"(27.68333, 4.41667)"
659f34b2c72de7d60a6242ed,Acfer 031,41,Valid,H5,2016,Found,1989,27.66667,4.35,"(27.66667, 4.35)"
